owner,repository,category,stars,forks,watchers,subscribers,open_issues,size,language,topics_count,license,default_branch,contributors,releases,branches,readme_size,has_wiki,has_projects,has_issues,has_pages,archived,disabled,created_at,updated_at,pushed_at
TypeCellOS,BlockNote,Growing,9960,749,9960,43,205,262619,TypeScript,12,NOASSERTION,main,30,30,30,4739,1,1,1,1,0,0,2022-03-02 07:24:48+00:00,2026-07-14 10:57:13+00:00,2026-07-11 18:22:46+00:00
MrXujiang,h5-Dooring,Growing,9959,1830,9959,161,39,52161,JavaScript,20,GPL-3.0,master,11,0,7,12024,1,1,1,0,0,0,2020-08-22 04:20:42+00:00,2026-07-13 12:00:17+00:00,2026-03-22 14:29:13+00:00
akaunting,akaunting,Growing,9955,2943,9955,217,7,85856,PHP,19,NOASSERTION,master,30,30,2,3679,0,0,1,0,0,0,2017-06-21 14:17:56+00:00,2026-07-14 08:03:42+00:00,2026-07-14 07:59:08+00:00
chaitin,PandaWiki,Growing,9953,989,9953,59,318,41957,TypeScript,9,AGPL-3.0,main,16,30,9,5300,1,1,1,0,0,0,2025-05-15 12:55:40+00:00,2026-07-14 08:41:42+00:00,2026-06-29 06:27:36+00:00
microsoft,magentic-ui,Growing,9952,997,9952,69,6,53056,Python,11,MIT,main,30,10,30,5292,1,1,1,1,0,0,2025-05-05 20:24:30+00:00,2026-07-13 21:09:43+00:00,2026-07-10 21:44:41+00:00
daliansky,Hackintosh,Growing,9948,1153,9948,334,0,72792,Shell,13,MIT,master,30,0,2,357266,1,1,0,0,0,0,2019-01-14 06:26:56+00:00,2026-07-13 20:31:03+00:00,2026-07-13 02:44:58+00:00
CollabCodeTech,backend-challenges,Growing,9945,679,9945,243,0,109,Unknown,7,MIT,main,25,0,1,12889,1,1,1,0,0,0,2019-07-08 23:07:34+00:00,2026-07-14 11:40:10+00:00,2026-02-04 00:02:22+00:00
johnkerl,miller,Growing,9945,238,9945,60,76,217014,Go,20,NOASSERTION,main,30,30,30,27750,1,1,1,1,0,0,2015-05-03 23:00:37+00:00,2026-07-13 13:50:27+00:00,2026-07-09 19:27:41+00:00
aandrew-me,ytDownloader,Growing,9944,890,9944,77,41,5139,JavaScript,20,GPL-3.0,main,18,30,29,9618,1,0,1,1,0,0,2022-07-25 16:14:20+00:00,2026-07-14 09:21:57+00:00,2026-07-14 09:21:46+00:00
drivendataorg,cookiecutter-data-science,Growing,9943,2639,9943,113,34,1328,Python,6,MIT,master,30,6,10,5792,0,0,1,0,0,0,2015-10-30 19:19:57+00:00,2026-07-14 02:07:20+00:00,2026-07-12 03:17:53+00:00
git-bug,git-bug,Growing,9942,311,9942,76,169,30719,Go,5,GPL-3.0,trunk,30,14,30,5438,0,1,1,1,0,0,2018-07-12 07:55:57+00:00,2026-07-14 12:11:13+00:00,2026-07-06 17:38:24+00:00
oblador,react-native-animatable,Growing,9942,694,9942,109,171,1755,JavaScript,3,MIT,master,29,24,2,12304,0,1,1,0,0,0,2015-10-18 02:04:35+00:00,2026-07-14 08:17:12+00:00,2023-10-26 16:46:05+00:00
alexanderepstein,Bash-Snippets,Growing,9942,843,9942,227,13,4241,Shell,12,MIT,master,30,30,1,16435,0,0,1,0,0,0,2017-06-26 21:55:08+00:00,2026-07-14 06:06:50+00:00,2024-05-04 18:12:41+00:00
google-deepmind,sonnet,Growing,9940,1307,9940,408,43,16932,Python,5,Apache-2.0,v2,30,4,5,11648,1,1,1,1,0,0,2017-04-03 11:34:35+00:00,2026-07-13 20:13:54+00:00,2026-07-07 22:31:42+00:00
npm,cli,Growing,9940,4502,9940,229,654,177148,JavaScript,6,NOASSERTION,latest,30,30,30,3352,1,0,1,0,0,0,2018-07-05 23:26:52+00:00,2026-07-14 10:43:39+00:00,2026-07-13 20:28:14+00:00
cncf,landscape,Growing,9938,2172,9938,398,62,326989,Unknown,8,Apache-2.0,master,30,0,30,5474,0,1,1,0,0,0,2016-11-04 19:30:00+00:00,2026-07-13 22:23:16+00:00,2026-07-13 19:01:16+00:00
awesome-lists,awesome-bash,Growing,9937,846,9937,176,5,86,Shell,3,CC0-1.0,master,30,0,3,14722,0,1,1,0,0,0,2016-02-08 09:30:10+00:00,2026-07-14 06:11:45+00:00,2026-05-21 14:27:17+00:00
Dr-TSNG,ZygiskNext,Growing,9934,619,9934,98,2,581,Unknown,3,No License,copyright,2,30,3,1878,1,0,1,0,0,0,2023-01-28 07:45:16+00:00,2026-07-14 10:39:05+00:00,2026-06-22 13:04:10+00:00
gcla,termshark,Growing,9934,437,9934,115,49,22261,Go,8,MIT,master,14,7,30,20298,0,1,1,1,0,0,2019-04-20 03:08:13+00:00,2026-07-14 02:23:30+00:00,2024-04-30 06:15:11+00:00
lyhue1991,eat_tensorflow2_in_30_days,Growing,9934,2430,9934,264,28,61324,Python,4,Apache-2.0,master,3,0,4,23822,1,1,1,1,0,0,2020-02-15 09:00:37+00:00,2026-07-13 20:17:08+00:00,2022-09-22 03:18:54+00:00
